宗谷,https://weather.yahoo.co.jp/weather/jp/1a/1100.html
旭川,https://weather.yahoo.co.jp/weather/jp/1a/1200.html
留萌,https://weather.yahoo.co.jp/weather/jp/1a/1300.html
札幌,https://weather.yahoo.co.jp/weather/jp/1b/1400.html
岩見沢,https://weather.yahoo.co.jp/weather/jp/1b/1500.html
倶知安,https://weather.yahoo.co.jp/weather/jp/1b/1600.html
網走,https://weather.yahoo.co.jp/weather/jp/1c/1710.html
北見,https://weather.yahoo.co.jp/weather/jp/1c/1720.html
紋別,https://weather.yahoo.co.jp/weather/jp/1c/1730.html
根室,https://weather.yahoo.co.jp/weather/jp/1c/1800.html
釧路,https://weather.yahoo.co.jp/weather/jp/1c/1900.html
帯広,https://weather.yahoo.co.jp/weather/jp/1c/2000.html
室蘭,https://weather.yahoo.co.jp/weather/jp/1d/2100.html
浦河,https://weather.yahoo.co.jp/weather/jp/1d/2200.html
函館,https://weather.yahoo.co.jp/weather/jp/1d/2300.html
江差,https://weather.yahoo.co.jp/weather/jp/1d/2400.html
青森,https://weather.yahoo.co.jp/weather/jp/2/3110.html
むつ,https://weather.yahoo.co.jp/weather/jp/2/3120.html
八戸,https://weather.yahoo.co.jp/weather/jp/2/3130.html
盛岡,https://weather.yahoo.co.jp/weather/jp/3/3310.html
宮古,https://weather.yahoo.co.jp/weather/jp/3/3320.html
大船渡,https://weather.yahoo.co.jp/weather/jp/3/3330.html
仙台,https://weather.yahoo.co.jp/weather/jp/4/3410.html
白石,https://weather.yahoo.co.jp/weather/jp/4/3420.html
秋田,https://weather.yahoo.co.jp/weather/jp/5/3210.html
横手,https://weather.yahoo.co.jp/weather/jp/5/3220.html
酒田,https://weather.yahoo.co.jp/weather/jp/6/3530.html
新庄,https://weather.yahoo.co.jp/weather/jp/6/3540.html
山形,https://weather.yahoo.co.jp/weather/jp/6/3510.html
米沢,https://weather.yahoo.co.jp/weather/jp/6/3520.html
福島,https://weather.yahoo.co.jp/weather/jp/7/3610.html
若松,https://weather.yahoo.co.jp/weather/jp/7/3630.html
小名浜,https://weather.yahoo.co.jp/weather/jp/7/3620.html
